id,accountId,puuid,name,profileIconId,revisionDate,summonerLevel,c1,c2,c3,c4,c5
hQO0o5NaW2MS1IUsGw4vnQqYic6L5jFR-haQKwdH9-KAMy4,lFyvUdkd_OPJg_PgaRQpklxFCMFGWek7ibdawTcsnvpckkA,1jA-MrcwOjjqccfFc9NWpLIyB8BuSAvicln69qOf6-CoKp3kwJcxFF7gj-7Z4i1CEpKmpm79vZgYpg,AlolanZora,3271,1554922400000,77,,,,,
qOe572XGQmk1zmhZ97anYUCpheWeq1uKYvBZtEVt8EAnCHI,TgrtnaULPEu7sWRsu_vNaBBGYrgmns3v4qBnfcVY1_KnRH8,Edwl7yUgS3Dsep8JgLEzNldgxFrmBvajXFZBHD31c9dAPEmANcyg7JleOzg_j7hWCTdc1x27YYxHyA,Leonidas700,687,1559001711000,65,,,,,
liRZy-EhOZt5QQlPwjbgZKCD86hwXJ64hklSQpHKI7Wo5NY,uzugnjJ-ipfiXyQUXL0HWccSi2nVRoQ8b82S8zPPSSYwFA,4XtaQxfekvT8swPPUN1IPg6jbZkrjWmOI4XwOlL9CA_aX3p2H7Q_CGO7n5TPziJCNq1VOL6Jx-74DQ,ShadowEli,691,1557132429000,37,,,,,
hByHnt01QdRX4nFMCaad1VM_APnuN_sP3icgJtfhyhrUKR0,VZ41F84kBxm5uO1Q4MD4fhV030ypqTcfl2AHWBTLAo81BbQ,Vh0a7vla306eviVvYD_817Ww2rTp5Z7MoS7b23NClX0m4bMN140l8t4o-V4P7AwOxWw20h0aYmcljQ,LightxProDigy,953,1557109475000,42,,,,,
eap4yUcqGTUZEhCsCQXnUb9pHrRYQZKFcfqOTOPYIAnNuLg,gxyi_Ga7iKd8oCp74NA0GQz0eJ8nEhoUu6WEQ6Qaiur9Rw,5SfXxz4xsBb1MUolyl4PSAXh8UdrMBX763CZVzBjXHSl8VJkDnuBUQBFPgHvKOO-MwDyYHLTGvTX9w,2 Fast 2 Ferrous,4088,1557911889000,192,,,,,
W-k0-2XNYuHahUV9ESX1rTwRQRwrd4y4u2uX7pO47s6OyPU,bz04UT5DCKE7_JwSIWp39woKxTR1OU-uS0ywygD-jdnCAQ,2yTIrDtlWOKmoLSroM1q0Mj68qGqFt82SkJ4xOCr9t_d-33ioG_Vkq0N9RuDnzeV6fcYT1CEppCa9Q,Akwac,709,1558998126000,161,,,,,
IYyemKm3MK3gF-VngnKJlNmKMBEvGIX8Tb2F9ORPXPhmFvY,km8esGwtr97S1E1Brjr4Xsjtj5z3DzgJcEetKJcNW6NlAw,KQ6PMmJs-fjmAlyt3BksRrHljsEilPkcMojRcE3bqSqc4pkqsq5ThsHQepVsMhPizm5Jzm8rJBEOwQ,DarrowAndromedus,1301,1558683146000,53,,,,,
BkO9R3jFDUMZKGoFhvj8izerN_djtvro_iAOrnsmcV15WJE,PeGI19R1wrUVYjIrX1r2MrbUsHYq_fDSZEQ81FRpArt5Dwg,nQi2Bd-uwkdWLePEfIekdWjL9je5coMvlJKpHNta1H9Mu5Tihho0hYCEbIbVmpV_5duzpAwRKGlwPA,Mataza75,1213,1558958394000,70,,,,,
VGhy4pLIHfqYOZHvUt2AaiwZPk75232V4OdTdXfkVo576kY,cooLt3rQAo_eaSrXi0grStY9UaeYxhAC03cuzTKe68Dksg,wCF0cF9FOJASm7wWyK7tBGLINasGGWHctBWaBpF83ZsDWQvQ57lob_5WgT_nURyId2pu_V_h-wybgw,o Fallen Angel o,518,1548703775000,31,,,,,
FKLsumuFxy1xT0JP9HNdW-QjaNYq1LqTQEK1ldQ74YqxQ7s,Kiajd22uAlnnMrWO1LmR1Tk3R7ukaxCXuqcxgZs3tm4esuk,ofsBLUA3raNrFm4v2vWorRMbqxaN6hzu3GfG9x25HBJI0xVdL57m5zXycHWVviv-m84biAhJYpEPCg,SkyWeezyDeezy,4086,1558907461000,148,,,,,
